id|title|text
9015|<i>Klingende Blume</i>|Klingende Blume is an outdoor sculpture by Achim Kühn, installed at Treptower Park in Berlin, Germany.
9016|Clarissa Scott Delany|She was born and grew up in Tuskegee, Alabama, and was educated at Bradford Academy and Wellesley College, joining Delta Sigma Theta Scott's four published poems are unusual in that she does not discuss specific struggles, but speaks more allegorically.
9017|Grant Notley|Canadian psychologist Jordan Peterson worked for Notley and his wife from around 1976 to 1980.
9018|Washington Hall (Seattle)|The original floor plan was designed by local Seattle architect Victor W.
9019|Hexyllithium|Both of these aspects encourage industrial applications.
9020|Damian Waniczek|Waniczek also won two medals in the men's doubles event at the FIL European Luge Natural Track Championships with a silver in 2010 and a bronze in 2002.
9021|<i>Neoterpes trianguliferata</i>|Neoterpes trianguliferata, the canary thorn, is a moth in the family Geometridae.
9022|Warm Air Research House|The two organizations commissioned the large Colonial Revival residence, which was designed by architect Loring Harvey Provine and graduate student Clarence Andrew Kissinger.
9023|Dark Is the Night for All|The second version features more scenes of the band.
9024|<i>Humanoid Monster Bem</i>|Humanoid Monster Bem is a 26-episode Japanese anime television series, which first aired on Fuji TV between October 7, 1968 and March 31, 1969, on its 19:30–20:00 timeslot.
9025|Fort Nelson Chapter of the Daughters of the American Revolution Chapter House|It was listed on the National Register of Historic Places in 2006.
9026|Sucharu Devi|She married the Maharaja of Mayurbhanj State, Shri Sriram Chandra Bhanj Deo in 1904, which was the Maharaja's second marriage after the death of his first wife.
9027|<i>The J. R. R. Tolkien Companion and Guide</i>|Volume 1 Chronology presents an extraordinarily detailed chronology of Tolkien's life on 800 pages.
9028|Houston Grand Opera|In 1984, Houston Grand Opera began using supertitles on all non-English productions, becoming one of the first opera companies in the United States to do so.
9029|Slate industry in Wales|The larger quarries could be highly profitable.
9030|CentralPlaza Khon Kaen|The mall opened on December 3, 2009.
9031|Peer-to-peer|Padmanabhan and Kunwadee Sripanidkulchai, working at Microsoft Research and Carnegie Mellon University.
9032|Carrington railway station|There was another station in Nottingham called Carrington Street, later superseded by the present Nottingham station.
9033|<i>Rhododendron facetum</i>|It is a shrub or small tree that grows to 3–7 m in height, with leathery leaves that are oblong-elliptic to obovate-elliptic, 8.
9034|Ricinolein|Ricinolein is the chief constituent of castor oil and is the triglyceride of ricinoleic acid.
9035|Horní Bělá|Villages of Hubenov and Tlucná are administrative parts of Horní Bělá.
9036|<i>Sphenoptera rauca</i>|Sphenoptera rauca is a species of beetles in the family Buprestidae.
9037|Tripelennamine|Tripelennamine, sold under the brand name Pyribenzamine by Novartis, is a drug that is used as an antipruritic and first-generation antihistamine.
9038|<i>The Jon Spencer Blues Explosion</i> (album)|The Jon Spencer Blues Explosion is the debut album by the New York City-based eponymous band.
9039|List of copper alloys|The following table outlines the chemical composition of various grades of copper alloys.
9040|John Mamann|Mamann has also written to a number of artists including Johnny Hallyday , for Florent Pagny, Natasha St-Pier, Luce, Jean-Roch, Havana Brown and others.
9041|Kathryn Trueblood|She attended the Avalon School , a unified K-12 school on Catalina Island.
9042|Independiente Medellín|The club finished third in the group and was transferred to the Copa Sudamericana, where they eventually lost to Racing Club in the second round.
9043|Grandma's Marathon|Race officials monitored the spread of COVID-19 in the state, and as the count of infected grew in St.
9044|Barham, New South Wales|Some of these boats are still operating, the paddle steamer Melbourne, built at Koondrook in 1914 is a tourist attraction at Mildura, the Alexander Arbuthnot, built in 1923, & the Emmylou built in 1980-1982 operate in Echuca.
9045|Richard M. Eakin|He was assistant dean of the College of Letters and Science from 1940 to 1943, and chairman of the Department of Zoology from 1942 to 1948, and again from 1952 to 1957.
9046|Pavlos Correa|On 22 June 2020, Anorthosis announced the renewal of Correa's contract until 2023.
9047|2009 in spaceflight|Whilst the primary objective of the flyby, achieving a gravitational assist, was successful, the spacecraft entered safe mode shortly before its closest approach, which prevented it recording data as it flew away from the planet.
9048|Saint-Gingolph, Haute-Savoie|Saint-Gingolph is a commune in the Haute-Savoie department in the Auvergne-Rhône-Alpes region in south-eastern France.
9049|Soyuz TMA-02M|They also trained with the laser range meter, navigator and other systems.
9050|Selsko meso|It is traditionally prepared in a clay pot.
9051|Phoenix Championship Wrestling|Eddy Guerrero, Jerry Lynn, Gangrel and Bam Bam Bigelow were among the first big stars to work for the company.
9052|<i>Been There...Sung That!</i>|Sung That! was released in 1999.
9053|Černíč|Černíč in Jihlava District in the Vysočina Region of the Czech Republic.
9054|Wario|Mega Microgames! was later remade as WarioWare, Inc.
9055|East Durham College|The present college results from the merger in June 1999 of Durham College of Agriculture and Horticulture.
9056|Bann Bridge|The bridge is composed of Dorman Long steel girders on reinforced concrete piers, which themselves rest on precast concrete piles.
9057|Archduke Ferdinand Karl of Austria|Like his brother, in 1909 he concluded an unequal marriage with Bertha Czuber , daughter of Emanuel Czuber.
9058|<i>Pussyfoot</i> (film)|For the single Anny, there are three types of men: married, gay and idiots.
9059|Winklevoss Capital Management|Since then, Winklevoss Capital has invested in a number of early stage equity companies and token networks in the cryptocurrency space.
9060|<i>Rastaman Vibration</i>|This is one of the three Wailers solo albums released in 1976, along with Blackheart Man by Bunny Wailer and Legalize It by Peter Tosh.
9061|<i>Collinsonia canadensis</i>|It is native to eastern North America, primarily east of the Mississippi River, where it is widespread.
9062|<i>The Cookery Book of Lady Clark of Tillypronie</i>|Some of Lady Clark's recipes are very brief, forming little more than notes to herself, as in her  Vegetable Marrow.
9063|Kelseyville, California|5 inhabitants per square mile.
9064|Just Play Music!|The edit of Just Play Music! omits Don Letts rapping from the outro and some of the samples.
9065|Chaney High School|Athletic teams compete as the Chaney Cowboys and Cowgirls in the Ohio High School Athletic Association.
9066|Washington Hall (University of Notre Dame)|It housed classrooms and practice rooms as well as facilities for lectures, concerts and campus assemblies.
9067|<i>The Sea Village</i>|She goes insane and waits on a mountain for the return of her husband.
9068|Yūchi Station|Yūchi Station has one side platform.
9069|1983 Chattanooga Moccasins football team|They finished the season 7–4 overall and 5–2 in SoCon play to place third.
9070|<i>Dangerous Ground</i> (soundtrack)|It was released on February 11, 1997 via Jive Records, and entirely composed of hip hop music songs.
9071|269th Infantry Division (Wehrmacht)|The division returned to action in November 1944, firstly in the west against the US forces and finally as a Battlegroup back in the east where the remains of the division finally surrendered to the Soviet forces in May 1945 at the end of the war.
9072|Gary Neal|In Barcelona he averaged 2.
9073|<i>Austrotrophon</i>|Austrotrophon is a genus of sea snails, marine gastropod mollusks in the family Muricidae, the murex snails or rock snails.
9074|Sio Moore|Moore was signed by the Kansas City Chiefs on October 7, 2016.
9075|1911 VMI Keydets football team|First-year head coach Alpha Brumage lead the 7–1 Keydets to their most wins in school history.
9076|Ministry of Justice and Security|The civil service is headed by a secretary-general and a deputy secretary-general, who head a system of three directorates-general: The Board of Procurators General is a relatively independent organisation which forms part of the Judiciary and prosecutes persons suspected of breaking the law.
9077|ROCK'N Vodka|Vodka made from sugarcane is atypical when compared to traditional corn, wheat, or potato vodkas.
9078|Agnieszka Brugger|On Libya, Sudan, South Sudan and Somalia, Brugger has a mixed voting record.
9079|Juan Carlos Olave|He spent most of his professional career with Belgrano.
9080|Poland at the 1996 Summer Olympics|Veteran Joanna Nowicka had the best result of the individual round, while the women's team won the bronze medal.
9081|Lara Wolters|After studying law and European social and political studies at the University College London she spent a year at the University of Strasbourg through the Erasmus Programme, where she completed an internship at the European Parliament.
